id,title,office,publish,stage
6f70e518042316b1,中华人民共和国公务员法,全国人民代表大会常务委员会,2018/12/29,法律
61074abb80d83224,中华人民共和国律师法,全国人民代表大会常务委员会,2017/9/1,法律
fbab3e18c84b1353,中华人民共和国中医药法,全国人民代表大会常务委员会,2016/12/25,法律
4a6f20f9b0c65642,中华人民共和国行政强制法,全国人民代表大会常务委员会,2011/6/30,法律
ccc86ea1a8fb2436,中华人民共和国反垄断法,全国人民代表大会常务委员会,2022/6/24,法律
c7e5dbef98549aaf,中华人民共和国个人信息保护法,全国人民代表大会常务委员会,2021/8/20,法律
9197072fd427b75e,中华人民共和国海南自由贸易港法,全国人民代表大会常务委员会,2021/6/10,法律
6e6f54d1552e150b,中华人民共和国数据安全法,全国人民代表大会常务委员会,2021/6/10,法律
ac6c732693604192,中华人民共和国广告法,全国人民代表大会常务委员会,2021/4/29,法律
6f425f129db882b1,中华人民共和国反不正当竞争法,全国人民代表大会常务委员会,2019/4/23,法律
6947333c25d9646d,中华人民共和国港口法,全国人民代表大会常务委员会,2018/12/29,法律
6af94b6fdf061920,中华人民共和国产品质量法,全国人民代表大会常务委员会,2018/12/29,法律
73c39e12adf8aa3f,中华人民共和国电子商务法,全国人民代表大会常务委员会,2018/8/31,法律
d76c369bc37576a5,中华人民共和国网络安全法,全国人民代表大会常务委员会,2016/11/7,法律
6c1ef76c15f31907,中华人民共和国科学技术普及法,全国人民代表大会常务委员会,2024/12/25,法律
54037579cb118596,中华人民共和国民事诉讼法,全国人民代表大会,2023/9/1,法律
c91c25263a7769e6,中华人民共和国刑事诉讼法,全国人民代表大会,2018/10/26,法律
ba011b1fdc7cb3d6,中华人民共和国仲裁法,全国人民代表大会常务委员会,2017/9/1,法律
4b2bdecbe1f710d8,中华人民共和国行政诉讼法,全国人民代表大会,2017/6/27,法律
9bdec90af9ef5e02,中华人民共和国人民调解法,全国人民代表大会常务委员会,2010/8/28,法律
e018eee647d9feaa,中华人民共和国海事诉讼特别程序法,全国人民代表大会常务委员会,1999/12/25,法律
25a6eaab9c86ea3b,中华人民共和国公证法,全国人民代表大会常务委员会,2017/9/1,法律
4d12c79acf7e2d98,中华人民共和国地方各级人民代表大会和地方各级人民政府组织法,全国人民代表大会,2022/3/11,法律
c0b36643b8c01331,中华人民共和国国务院组织法,全国人民代表大会,2024/3/11,法律
f3a67009495d7722,中华人民共和国人民陪审员法,全国人民代表大会常务委员会,2018/4/27,法律
